"3 BHK Semifurnished Flat in Kadavanthra, 1555 sqft","3 BHK semifurnished flat 1555 sqft with all facilities in Kadavanthara. Good road access. 3/ 16 floors. Branded builder, 10 plus years. Servent bathroom available  Price: 86 Lakhs  700/7699",Kochi,Kadavanthra,3 Bds , 3 Ba , 1555 ft2,"₹ 86,00,000"
Vyttila Near 6.5 cent land with 3600 sqft building for sale,Vyttila Near 6.5 cent land with 3600 sqft building for sale. Apt Commercial purpose or Residential. Asking price 2.25 Cr. Please interested Buyers Only Contact For Me. Broker's Excuse,Kochi,Vytila,4+ Bds , 4+ Ba , 3800 ft2,"₹ 2,25,00,000"
1560sqft 3BHK flat for sale at Thripunithura.,VP NO 3220:  1560sqft 3BHK flat for sale at Thripunithura.All facilities ara available.Price 90 lacs (neg). Interested buyers contact Vinhar properties. Loan facility available for major leading banks.,Kochi,Thripunithura,3 Bds , 3 Ba , 1560 ft2,"₹ 90,00,000"
4 bhk fully furnished new flat for sale in Tripunithura,"2200 sqft 4 bhk fully furnished ready to move new flat for sale in Tripunithura Town. Walkable distance from statue jn. Walkable distance from temple, hospital, schools and supermarkets. Price 1.40 crore. ( negitiable ). Interested buyers contact : vinharproperties. Loans available from all leading major banks.",Kochi,Tripunithura,4 Bds , 4 Ba , 2200 ft2,"₹ 1,40,00,000"
"NEW HOUSE FOR SALE AT EROOR , VYTTILA.","1600sqft , 4bhk , 3bathroom , Semifurnished New house for Sale At Near Eroor ,  Vyttila. Asking price 78Lakh.    MORE INFORMATION PLEASE CALL 9️⃣5️⃣6️⃣7️⃣8️⃣0️⃣6️⃣8️⃣2️⃣2️⃣    DREAM HOMES PROPERTY MANAGEMENT.",Kochi,Vyttila,4 Bds , 3 Ba , 1600 ft2,"₹ 78,00,000"
"Suitable for rental or investment purpose, 6.25cent & house,negotiable","6.25 cent land, 14.5 lakh per cent and only 8 lakh for the house. House is old but in good condition. Monthly rental income 25,000 guaranteed. Direct sale from the owner.  Less than 1 km to Lulu mall and from Amrita hospital. Rectangular plot with 2 storied house with independent entires, electric connection and water connection. 900sq ft each, ground floor with 2 bed room with attached bathroom, kitchen, living area, work area and common bathroom. 1st floor living area 2 bed room with one attached bathroom and kitchen, work area. 9️⃣8️⃣9️⃣5️⃣3️⃣5️⃣0️⃣5️⃣6️⃣5️⃣",Kochi,Ponekkara,4 Bds , 4+ Ba , 1800 ft2,"₹ 98,62,500"
3BHK Apartment Regalia Yeskay Kadavanthra,"3 BHK Apartment sale at Kadavanthra ,3 Bedroom,3 Bathroom 2 Balcony ,2 years Apartment  Amenities - Yeskay Regalia: Landscaped Garden ,Indoor Games",Kochi,Kadavanthra,3 Bds , 3 Ba , 1330 ft2,"₹ 90,00,000"
"3 BHK Fully furnished Flat in Panampally Nager,Kochi,1235sqft","1235 sqft, 3 BHK Fully furnished flat in Panampally Nager, Branded builder. With all modern facilities, 6 / 12 floors, 2 A/C, fridge, washing machine, water purifier etc available  Price: 82 Lakhs  700/7930",Kochi,Panampilly Nagar,3 Bds , 3 Ba , 1235 ft2,"₹ 82,00,000"
4 BHK Premium Luxury Flat for sale at Panampally Nagar,"* Spacious house with 4 bedrooms (attached bathrooms), entrance sitting room, dining room, family sitting room, big kitchen + breakfast pantry area, store/laundry room, 2 big balconies * Office room/maid room/5th bedroom with separate bathroom * near to Passport Office * Interiors finished with teak wood interiors, ceiling works, arches, wardrobes, kitchen cabinets * Total 6 AC's - one in each bedroom including living room and dining hall. (Interior works and AC's, was installed at a cost of 25 lakhs) * 24 hours security, Amenities like club house, Party hall, swimming pool etc.  Asking price is 2,50,00,000 (Negotiable) - selling direct from owner (Brokers please excuse)",Kochi,Panampilly Nagar,4+ Bds , 4+ Ba , 3120 ft2,"₹ 2,50,00,000"
7cent land +old house  35lakh per cent  at panampailly Nagar end,"7cent land +old house  35lakh per cent  at panampailly Nagar end,bus 3mint wakable distance, good residential area ,now 38000rs rent getting in this building",Kochi,Panampilly Nagar,3 Bds , 3 Ba , 1500 ft2,"₹ 35,00,000"
"1350 Sq Ft 4 BHK Independent House for Sale at Palluruthy, Ernakulam","1350 Sq Ft 4 BHK Independent House for Sale at Palluruthy, Ernakulam  Property details:      - Extent of land: 3 cents.      - Built up area - 1350 Sq Ft      - Profile of the building - Ground +1 floor      - Ground floor - 2 bed residential unit. (Renovation in progress)      - First floor - 2 bed residential unit. Woodwork done. Space rented out.      Legal - Clean title.   Expected Price : - 75 lakhs (Price is negotiable depending on payment terms)  Reference : ERR90391",Kochi,Palluruthy,4 Bds , 4 Ba , 1350 ft2,"₹ 75,00,000"
3 bhk flat near mg road metro station,Residential flat at heart of the city near mg road metro station 3 bhk Good location Small car parking flat 45 lakhs,Kochi,MG Road,3 Bds , 2 Ba , 1350 ft2,"₹ 50,00,000"
3 BHK Apartment  - at Kadavanthra,3 Bedrooms new unfurnished flat for immediate sale at Kumaranasan Nagar Kadavanthra.  Interested buyers please contact us for apartment visit and details. Agents Pls Excuse,Kochi,Panampilly Nagar,3 Bds , 2 Ba , 1231 ft2,"₹ 57,00,000"
"3 BHK Apartment - Paradise Road, Vyttila","3 Storeyed Building.  4 Years old New looking. Flat is in Ground Floor Vyttila , Janatha Jn , Near Welcare Hospital , Paradise Road  Total 1500 Sq Feet 3 Bed Rooms all Attached All 3 Rooms and Hall are Air-conditioned Total   4 AC Airconditions 3 Toilets Common Area Kitchen Store Room Living cum Dining Hall Car Porch which can accommodate Cars bigger than Innova Wide Road Frontage Calm and Quite Premium Area Best Connectivity to all areas Low Monthly  Common Maintenance charges  Best suitable for Old aged people also as it is in Ground Floor .  Water very abundant Corporation and Extra Bore well facilities.  Genuine buyers Pls call to visit this apartment.",Kochi,Kadavanthara,3 Bds , 3 Ba , 1500 ft2,"₹ 67,00,000"
Luxury Italian Styled Villa at Kadavanthara,"Italian design independent  Luxury Villa project at Kadavanthara  Fully furnished,  Air-Conditioned 4 Spacious Bedrooms Landscaping and gardening done 4000 Sqft, 8.5 Cents Price: 4.8 Cr  Call: 808989a0118",Kochi,Kadavanthra,4 Bds , 4+ Ba , 4000 ft2,"₹ 4,80,00,000"
A beautiful house for sale near vallarpadam basilica,Water frontage house with a peaceful atmosphere.,Kochi,Vypin,3 Bds , 2 Ba , 800 ft2,"₹ 35,00,000"
3700 SQFT BRAND NEW FLAT FOR SALE AT MARINE DRIVE,FLAT DETAILS  LOCATION       : MARINE DRIVE BEDROOM      : 4 BATHROOM   : 5 SQFT                : 3700 FURNISHED    : NO Brokers please excuse . For more details contact,Kochi,Marine Drive,4 Bds , 4+ Ba , 3700 ft2,"₹ 3,00,00,000"
68 Lakh 3BHK BEAUTIFUL VILLA2 cent  kacheripadi jn 68,"3 bed 3 bathroom living dining porch furnished kitchen work area 2 nos, balcony and open Terese near CMB VEGETABLES Kacheripadi",Kochi,Palluruthy,3 Bds , 3 Ba , 1050 ft2,"₹ 68,00,000"
2BHK at 41Lakhs ready to move,"property with all premium amenities. easy access to marine drive, high court and city",Kochi,Vypin,2 Bds , 2 Ba , 873 ft2,"₹ 41,25,000"
3 bhk flat nagarjuna pearl bay for sale,"3bhk furnished flat for sale  nagarjuna pearl bay near KP vallon road kadavanthara. Price 85 lakhs,  more information contact me",Kochi,Kadavanthara,3 Bds , 3 Ba , 1438 ft2,"₹ 85,00,000"
3 bhk apartment for sale nearly Thevara,"This is a furnished apartment with three bathrooms attached rooms. Located on the 4th floor. There are facilities such as lift, generator and car parking. This apartment is located in Kasturba Nagar. Easy access  to Panampally Nagar MG Road Tevara and  Kadavanthara . Prices asking for 60 lakhs, negotiable",Kochi,Thevara,3 Bds , 3 Ba , 1500 ft2,"₹ 60,00,000"
Luxury 3BHK Flat for Sale,"Prestige Neptune’s Courtyard is an exclusive community that offers ultra luxury homes for the very upper crust. Set amidst the vast backwaters of Kochi, Prestige Neptune’s Courtyard is home to three, four & five bedroom premium luxury apartments, which compliment the lifestyle of its residents. Each Apartment is equipped with state-of-the-art facilities to give you the best of modern living. Sprawled over 5 acres of greenery and blue waters, Prestige Neptune’s Courtyard is miles from the noise of the city, yet minutes away from civilization. Step through the magnificent gates and into a world of tranquility, with trees and water bodies dotting the landscape. There are no driveways on the premises, as we’ve restricted parking to the basement and ground floor only. We’ve paid attention to every little detail to offer you the finest in luxury living.",Kochi,Marine Drive,3 Bds , 4 Ba , 2223 ft2,"₹ 2,25,00,000"
New 2 Bedroom Semi furnished apartment,"New 2 Bedroom Semi furnished apartment , close to Abad Hotel, Chullikkal, Kochi. With covered parking. Semi furnished. Kitchen cupboards and Curtains done. Immediate  Sale. പുതിയ 2 ബെഡ്‌റൂം ഫ്ലാറ്റ്, ചുള്ളിക്കൽ അബാദ് ഹോട്ടലിനു സമീപം വില്പനക്ക്. Contact: 94477 three dbl five 07.",Kochi,Chullickal,2 Bds , 2 Ba , 1100 ft2,"₹ 39,00,000"
INDEPENDENT HOUSE FOR SALE AT KADAVANTHRA,"2400Sqft , 3Bhk , 3Bathroom , Semifurnished Independent House For Sale At Kadavanthra.Asking price 2.5cr  MORE INFORMATION PLEASE CALL 9️⃣5️⃣6️⃣7️⃣8️⃣0️⃣6️⃣8️⃣2️⃣2️⃣    BROKERS PLEASE EXCUSE    DREAM HOMES PROPERTY MANAGEMENT.",Kochi,Kadavanthra,3 Bds , 3 Ba , 2400 ft2,"₹ 2,50,00,000"
Independent House for Sale At Kadavanthra.,5.7Cent Residential Land for Sale At Kadavanthra.   100Meters from Kadavanthra Jn.   MORE INFORMATION PLEASE CALL 9️⃣5️⃣6️⃣7️⃣8️⃣0️⃣6️⃣8️⃣2️⃣2️⃣    BROKERS PLEASE EXCUSE     DREAM HOMES PROPERTY MANAGEMENT.,Kochi,Kadavanthra,4 Bds , 4 Ba , 2400 ft2,"₹ 1,30,00,000"
Furnished 1 Bed Ac Apartment,"For Sale: a fully furnished 1 bedroom new apartment, centrally Air-conditioned, with all furniture, furnishings, TV, Fridge, Washing Machine, kitchen, Hood, Hob etc. Can be rentable on daily basis too. Contact: 9846, triple one, 707.",Kochi,Edakochi,1 Bds , 1 Ba , 800 ft2,"₹ 65,00,000"
നസ്റേത്ത് 2ബെഡ്റൂം 1കോമൺബാത്‌റൂമ് ഹാൾകിച്ചൻ ഗ്രൗണ്ട്ഫ്ലോർ3അരപണയം,"1, 7 ലക്ഷം പണയം ചുള്ളിക്കൽ രണ്ടു ബെഡ് റൂം 1 അറ്റാച്ച് ഹാൾ കിച്ചൻ ഗ്രൗണ്ട് ഫ്ലോർ 1, നസ്റേത്ത് 2 ബെഡ്റൂം 1കോമൺ ബാത്‌റൂമ് ഹാൾ കിച്ചൻ ഗ്രൗണ്ട് ഫ്ലോർ മൂന്നരലക്ഷം പണയം  1, തൊപ്പുംപടി രണ്ടര ലക്ഷം പണയം  1, ചുള്ളിക്കൽ ഒരു സെന്റിൽ പുതിയ വീട് വില്പനക്ക് ഒരു ബെഡ് റൂം ഹാൾ കിച്ചൻ കോമൺ ബാത്‌റൂമ് 17 ലക്ഷം  1, ചുള്ളിക്കൽ ഫസ്റ്റ് ഫ്ലോർ രണ്ടു ബെഡ് റൂം ഹാൾ കിച്ചൻ ഒരു അറ്റാച്ച് ഒരു കോമൺ ബാത്‌റൂമ് ഒരു ലക്ഷം അഡ്വാൻസ് 9 വാടക  1, മട്ടാഞ്ചേരി ഈരവേലിയിൽ 1.850 സെന്റ് ഇരുനില വീട് 1300 sq ഗ്രൗണ്ട് ഫ്ലോർ രണ്ടു ബെഡ് റൂം ഒന്ന് അറ്റാച്ച് ഒരു കോമൺ ഹാൾ കിച്ചൻ. ഫസ്റ്റ് ഫ്ലോർ രണ്ടു ബെഡ് റൂം അറ്റാച്ച് ഹാൾ കിച്ചൻ 37 ലക്ഷം വില്പനക്ക് (10 വർഷം പഴക്കം ) 1, മട്ടാഞ്ചേരി പുതിയ റോഡിൽ 1400 cent(1700) 2 ബെഡ് റൂം 1 അറ്റാച്ച് ഹാൾ കിച്ചൻ 27 ലക്ഷം വില്പനക്ക്  1, കഴുത്ത്മുട്ട് ഫസ്റ്റ് ഫ്ലോർ 3 ബെഡ് റൂം 2 അറ്റാച്ച് ഹാൾ കിച്ചൻ 10 ലക്ഷം പണയം  1, ചുള്ളിക്കൽ 1.600 സെന്റ് ഒരു നില വീട് രണ്ട് ബെഡ് റൂം അറ്റാച്ച് ഹാൾ കിച്ചൻ 33 ലക്ഷം വില്പനക്ക്  1, പോളകണ്ടം വാട്ടർ അതോറിറ്റി ഒരു ബെഡ് റൂം ഹാൾ കിച്ചൻ കോമൺ ബാത്‌റൂമ് നാലര ലക്ഷം പണയം  1, പോളക്കണ്ടം ഫസ്റ്റ് ഫ്ലോർ 3 ബെഡ്റൂം രണ്ടുകോമൺബാത്‌റൂമ്50അഡ്വാൻസ്10 വാടക 1, ചുള്ളിക്കൽ 3 ബെഡ് റൂം ഒന്ന് അറ്റാച്ച് ഒന്ന് കോമൺ ഒറ്റ പുതിയ വീട് റോഡ് വാതിക്കൽ കാർ വരും വീട്ടിൽ ബൈക്ക് ഇടാൻ പറ്റു 15 ലക്ഷം പണയം. 1, 3 സെന്റ് ചുള്ളിക്കൽ പ്ലോട്ട് കാർ കയറും 13 അര ലക്ഷം വെച്ച് വീട് വാടക പണയം സമിപ്പിക്കുക A1 റിയൽ എസ്റ്റേറ്റ്",Kochi,Chullickal,2 Bds , 1 Ba , 1000 ft2,"₹ 3,50,000"
2BHK at 41Lakhs ready to move,"property with all premium amenities. easy access to marine drive, high court and city",Kochi,Vypin,2 Bds , 2 Ba , 873 ft2,"₹ 41,25,000"
FERN ICON 3 BHK APARTMENT FOR SALE,FERN ICON 3 BHK APARTMENT FOR SALE,Kochi,Kadavanthara,3 Bds , 3 Ba , 1680 ft2,"₹ 70,00,000"
4 BHK BRAND NEW FLAT PANAMPILLY NAGAR.,Brand new 4 bhk ready to occupy flat for sale at panampilly nagar with all amenities.,Kochi,Panampilly Nagar,4 Bds , 4+ Ba , 2650 ft2,"₹ 2,25,00,000"
For Sale 1200sqft 3BHK +2T Unfurnished Apartment in Panampilly nagar,For Sale 1200sqft 3BHK +2T Unfurnished Apartment in Panampilly nagar.  Property ID - 812  Amenities includes : 1 Covered car Parking. Expecting Rate:68lakh,Kochi,Panampilly Nagar,3 Bds , 2 Ba , 1200 ft2,"₹ 68,00,000"
For Sale 1335sqft 3BHK +3T Unfurnished Apartment in Panampillynagar,For Sale 1335sqft 3BHK +3T Unfurnished Apartment in Panampilly nagar.   Property ID - 811  Expecting Sale Price - 75 Lakhs,Kochi,Panampilly Nagar,3 Bds , 3 Ba , 1335 ft2,"₹ 75,00,000"
3824sqft    4BHK +study room luxury flat for sale at Vyttila.,"VP NO 3231:      3824sqft    4BHK +study room luxury flat for sale at Vyttila.3 lift ,2 car parking,play area,pool,generator back up and all aminities available.Price 3.25 Cr. Interested buyers contact Vinhar properties. Loan facility available for major leading banks.",Kochi,Warriyam Road,4 Bds , 4 Ba , 3824 ft2,"₹ 3,25,00,000"
FLAT FOR SALE,1 BHK flat very near to KSRTC Bus depot and Ernakulam south railway station.,Kochi,Kadavanthra,1 Bds , 1 Ba , 550 ft2,"₹ 18,00,000"
"2188 sq.ft 3 BHK water front view,  Apartments Marine drive,Ernakulam","2188 sq.ft 3 BHK water front view,  Apartments Marine drive,  Ernakulam.  Kochi. Kerala  Service Description:  Enjoy spectacular views of the Arabian sea from your high-rise residence, and let your senses soak in the glorious sunsets every day! Surround yourself in the serenade of exotic bird calls from the Mangalvanam bird sanctuary that’s adjacent to your home, and luxuriate in the spacious green environs of the property.  Trivia will have luxurious and spacious 3 and 4 BHK apartments spread across five towers and a signature Iconic tower. The property will be an exclusive gated community with elaborate electronic and personal security systems. A fully-featured clubhouse with a gymnasium, squash and tennis courts, facilities for table tennis, multiple swimming pools, banquet area, and guest rooms elevates your leisure and lifestyle stunning Infinity pool, senior citizen corners, an amphitheatre, a jogging track and a yoga court are some of the other unique features of this development. Tritvam located in close proximity to the city’s best restaurants, shopping malls, hospitals and schools and it’s just a short 20 minute driver away from the Kochi airport  Price Starting from 2.10 Cr  Kerala Real Estate Regulatory Authority Registered  For More videos Visit my You Tube channel  Prince Real Estate Koch i  Copy and paste on YouTube. Watch paly lists",Kochi,Marine Drive,3 Bds , 4 Ba , 2188 ft2,"₹ 1,95,00,000"
budgeted Ready to move flats available,2bhk at reasonable rates,Kochi,Bolghatty Island,2 Bds , 2 Ba , 879 ft2,"₹ 41,80,000"
"3 BHK Semifurnished Flat in Kadavanthra, 1555 sqft","3 BHK semifurnished flat 1555 sqft with all facilities in Kadavanthara. Good road access. 3/ 16 floors. Branded builder, 10 plus years. Servent bathroom available  Price: 86 Lakhs  700/7699",Kochi,Kadavanthra,3 Bds , 3 Ba , 1555 ft2,"₹ 86,00,000"
2 Bhk Plus Study Flat for Sale Kacheripady Ernakulam,2 Bhk Plus Study Flat for Sale Kacheripady Ernakulam.,Kochi,Kacheripady,2 Bds , 2 Ba , 1100 ft2,"₹ 50,00,000"
TATA TRITVAM ICONIC 4 BHK 3186 SQFT FOR SALE,FLAT DETAILS  LOCATION       : MARINE DRIVE BEDROOM      : 4 BATHROOM   : 6 SQFT                : 3186 FURNISHED    : SEMI FURNISHED Brokers please excuse . For more details contact,Kochi,Marine Drive,4 Bds , 4+ Ba , 3186 ft2,"₹ 3,60,00,000"
HOUSE FOR SALE,THOPPUMPADY,Kochi,Thopumpady,3 Bds , 2 Ba , 1100 ft2,"₹ 30,00,000"
3 BHK Apartment Near Vyttila - Kadavanthra Road,"> Walkable distance to SA Road and Subhash Chandra Bose Road.  > Excellent Location, Quality Construction.  > One Automatic Bed Lift  > 24 hr Generator backup with AMF  > Bio-metric access control on main entry > CCTV Surveillance on gates and main entry  > Retriculated gas supply system  > Provison for cable TV / DTH  > Reserved car parking  If you are interested please contact us for further details and apartment visit.",Kochi,Kadavanthra,3 Bds , 3 Ba , 1265 ft2,"₹ 79,00,000"
Furnished 3 BHK Flat - Kaloor,Furnished 3 BHK flat for sale at Kaloor - Lissie Metro Station. Pls contact for more details and apartment visit. Agents Pls Excuse,Kochi,MG Road,3 Bds , 3 Ba , 1582 ft2,"₹ 79,00,000"
Posh Villa for sale in Kadavanthra,3700  sqft posh villa for sale in Kadavanthra. Walkable distance to Kadavanthra Junction and Elamkulam Metro station. Well designed interiors with spacious rooms located in peaceful residential area. Genuine owners may contact. Brokers please excuse.,Kochi,Kadavanthra,4 Bds , 4 Ba , 3700 ft2,"₹ 4,80,00,000"
3 Bedroom Twin House Unit at Pallissery Junction Palarivattam.,"3 Bedroom Twin House Unit at Pallissery Junction, Puthiya Road, Palarivattam. Land Area - 3.6 Cents Building Area -960 Sqft Ground + 1 storied Building 3 Bedrooms Just 50 Mtrs from Junction. 130 Mtrs from NH 66.  Pls call for more details and apartment  visit. Agents Pls Excuse",Kochi,Kadavanthara,3 Bds , 3 Ba , 958 ft2,"₹ 70,00,000"
"3 BHK Twin Apartment - NH 66, Puthiya Road.","> 130 Mtrs from Highway  > Spacious Road Access  > Twin House with one sharing wall  > 3.6 Cents land area  > 950 Sqft building  > 3 Bedrooms  > Suitable for office cum residential space.  > Easy access to Palarivattam, Thammanam,Edappally & Vyttila.  If you are interested please contact us for further details and apartment visit.",Kochi,Kadavanthara,3 Bds , 3 Ba , 960 ft2,"₹ 70,00,000"
"Three Bedrooms New Flat for Sale - Alinchuvadu, Palarivattam,Kochi.","3 BHK Flat - Palarivattam  Just 500 Mtrs from NH 66 Bypass.  Easy access to Palarivattam, Kakkanad, Vyttila, Edappally etc  Easy Access to school, Church,Hospital,Bus stop etc  Floors - 1st out of 14 Floors  Bedrooms - 3  Bathrooms -3  Area - 1438  Amenities - Health Club  Swimming Pool  Indoor Games Area  Landscaped Terrace Garden  Centralized Gas Connection  Cost of Apartment - 88 Lakhs + Registration",Kochi,MG Road,3 Bds , 3 Ba , 1438 ft2,"₹ 88,00,000"
"3 Bedrooms Semi furnished Unused Flat- Chakkaraparambu, Vyttila","Location : Chakkaraparambu, Vyttila - Palarivattam Bypass Distance from NH 66 - 1.2 Kms Distance from Vyttila - 3 Kms Distance to Kakkanad - 3.5 Kms Area : 1650 Sqft Bedrooms : 3 Bathrooms : 3 Balconies : 3 Furnishing : Semi furnished. Floor : 6th  out of 6 Floors Covered Carpark : 1  Age of Building : 9-  10 Year Society Registration : Yes Monthly Maintanance : 2500 Security : Security cum Caretaker Power Backup : Yes Water Source : Corporation & Well  Gymnasium : Yes Party Hall : Rooftop Covered Party Area Children's Play Area : Yes Waste Management : Yes",Kochi,Kadavanthara,3 Bds , 3 Ba , 1650 ft2,"₹ 78,00,000"
"3 BHK Furnished Flat Near Lissie Junction, Kaloor",">  Ready to occupy resale flat.  >  Fully Furnished   > Prime location  > Walkable distance to Metro and Bus     route.   > Branded builder.  >  Spacious carpark.  > Amenities like Gym, swimming pool...  > Security and cc tv camara  Genuine buyers Pls call me for visiting the apartment.",Kochi,Kadavanthara,3 Bds , 3 Ba , 1582 ft2,"₹ 79,00,000"
"3 BHK Flat - Lissie Junction, Kaloor","> Excellent proximity to city destinations > Walkable distance to Metro station > 10 Years Old well maintained flat > Covered carpark > Amenities like swimming pool, health Club etc > Quality construction > Fully furnished  If You are interested pls contact for more details. Agents Pls Excuse",Kochi,MG Road,3 Bds , 3 Ba , 1582 ft2,"₹ 80,00,000"
Urgent flat for  sale   kadavanthra ..near rajev gandhi stadium,3bhk..1900sq..10 years old.. not use bedroom  1.15cr negotii..semi furnished..broker plz excu..,Kochi,Kadavanthra,3 Bds , 3 Ba , 1900 ft2,"₹ 1,15,00,000"
House For sale in Binny road palluruthy,"Doubled storeyed house,3.100 cents, additional double storey rooms inside the compound ,2 way road  access, Front car reachable road ,back side  bike access road, School,churches,temple,  supermarkets nearby .16 year old house.  Great investment opportunity of rental income  21000 will get for the total building .",Kochi,Palluruthy,4+ Bds , 4 Ba , 1700 ft2,"₹ 50,00,000"
Semi furnished flat for Sale Near Thripunithura,* Ready to move project * All major Banks approved project * Easy Acess to all Area,Kochi,Kadavanthra,3 Bds , 3 Ba , 1380 ft2,"₹ 75,00,000"
2 bhk house for sale @palluruthi,2 bhk house for sale @palluruthi,Kochi,Palluruthy,2 Bds , 1 Ba , 1000 ft2,"₹ 42,00,000"
An house for sale at thevara,8.5 cent 3500sqf 5 bed room with bath attached old 4 cr at thevara 8️⃣1️⃣2️⃣9️⃣3️⃣9️⃣8️⃣1️⃣4️⃣1️⃣,Kochi,Thevara,4+ Bds , 4+ Ba , 5000 ft2,"₹ 4,00,00,000"
"5000sqft, building,kadavanthra,panambily nagar","Total 3 floors. Each floor 2 flats.  Fully furnished with tv, wooden setty, dining table with 6 chairs, battery inverter power back up, fridge, washing machine, gas stove with cylinder, bedroom ac, steel wardrobe, 2 family coat with beds, 5 car parking.  Total land 9.5 cents.  Metro station, south railway station, bus stop, main super markets, are just 1 km around. Bavans school just 200 Mtrs. Good location. Good rental    Income. Expected price 3.5 cr.",Kochi,Kadavanthra,4+ Bds , 4+ Ba , 5200 ft2,"₹ 3,00,00,000"
"BUDGETED APARTMENT FOR SALE AT KOCHI, VYPIN","BUDGETED APARTMENT FOR SALE AT KOCHI, VYPIN. K-RERA/PRJ/215/2020",Kochi,Vypin,2 Bds , 2 Ba , 871 ft2,"₹ 42,00,000"
3587 sqft 4 bhk posh flat for sale at kadavanthara,3587 sqft 4 bhk posh flat for sale at kadavanthara for more details contact. brokers plese excuse,Kochi,Kadavanthara,4 Bds , 4+ Ba , 3587 ft2,"₹ 3,50,00,000"
3 BHK VILLA FOR SALE THEVERA,6CENTS 2614SQFT 3 BHK VILLA,Kochi,Thevara,3 Bds , 3 Ba , 2614 ft2,"₹ 1,65,00,000"
6 bhk house for sale @thoppumpadi,6 bhk house for sale @thoppumpadi,Kochi,Thopumpady,4+ Bds , 4+ Ba , 3500 ft2,"₹ 1,85,00,000"
Ground floor,"Ground floor rent paraking availabe,near kmp  junction, sn lain ,thangal nagar",Kochi,Palluruthy,3 Bds , 2 Ba , 850 ft2,"₹ 10,000"
19 cent Luxury old 4000 sq fully furnished house Eranakulam kacheripad,19 cents original land with 4000 sqfts fully furnished old Luxury house at Eranakulam kacheripady.MG road and Banerji Road 250 mtrs.High Court 500 mtrs.10 car parking . Asking only land cost.See profile for more properties.Bro Excuse.,Kochi,Kacheripady,4+ Bds , 4+ Ba , 4200 ft2,"₹ 4,75,00,000"
"Luxury Gated Villa For Sale At near Civil Station , Kakkanad.","2400Sqft , 4Bhk , 4bathroom , Semifinished For Sale At Near Civil Station , Kakkanad .",Kochi,Kadavanthra,4 Bds , 4+ Ba , 2400 ft2,"₹ 1,55,00,000"
House for sale in fort Cochin near kokers,House for sale in fort Cochin near kokers theatre,Kochi,Fort Kochi,2 Bds , 2 Ba , 1500 ft2,"₹ 70,00,000"
3BHK Near Medical Trust,"Spacious hall, covered cabinets on all 3 bedrooms and kitchen, separate Puja Room, vitrified tiles, corporation water, 3phase electricity. Very near to Medical Trust, Metro station, Mg Road, South Railway station and Ravipuram. Ready to occupy. 27 years old building. Tentative car parking. Rate slightly negotiable.",Kochi,Ravipuram,3 Bds , 2 Ba , 900 ft2,"₹ 45,00,000"
2 BHK FLAT FOR SALE IN KADAVANTRA ( 45 LACS ),"2 BHK Semi Furnished Flat in Kadavantra, Very easy access to Panampilly Nagar,Thevara,MG Road Near by Supermarket,Bavans School , Coffee shops etc etc Asking 45 Lakhs",Kochi,Kadavanthra,2 Bds , 2 Ba , 1050 ft2,"₹ 45,00,000"
KADAVANTRA 42 LAKHS 2 BHK APARTMENT FOR SALE,"2 BHK SEMI FURNISHED APARTMENT FOR SALE IN KADAVANTRA NEAR GIRIDHAR EYE HOSPITAL  LIFT ,POWER BACKUP AVAILABLE  EASY ACCESS TO PANAMPILLY NAGAR ALL DAILY NEEDS SHOPS & SCHOOL NEAR BY ASKING - 42 LAKHS FOR MORE DETAILS",Kochi,Kadavanthra,2 Bds , 2 Ba , 1050 ft2,"₹ 42,00,000"
House for Sale in Chullickal,"House for sale in chullickal 2 Floor 3 Bedroom(3Attached bathroom) Ground floor- Hall, kitchen, 1 bedroom, bathroom 1st floor- 2 Bedrooms, balcony Second floor- Roofed with Aluminium sheet 50 meter from main road 2 cents Near by Temple, church, mosque Good residential area Two wheeler access, (2 Two wheeler park)",Kochi,Chullickal,3 Bds , 3 Ba , 1050 ft2,"₹ 48,00,000"
"Three Bedrooms Semi Furnished Flat - Kumaranasan Nagar, Kadavanthra","Ready to occupy new 3 BHK semi furnished Flat at Kumaranasan Nagar, Kadavanthra for immediate sale. Genuine buyers looking for immediate sale please contact for site visit.  Agents Pls Excuse",Kochi,MG Road,3 Bds , 3 Ba , 1230 ft2,"₹ 65,00,000"
3 BHK Budget Apartment - Kadavanthra,Ready to occupy 3 bedrooms semi furnished new apartment for sale at Kadavanthra. Just 500 mtrs from Kadavanthra  Kaloor main road. Please contact for apartment visit and further details. Agents Pls Excuse,Kochi,Kadavanthra,3 Bds , 2 Ba , 1232 ft2,"₹ 57,00,000"
3 Bedrooms Budget Apartment - Near Kadavanthra,Location : Near Kadavanthra Area : 1232 Sqft Land Share : 1 Cent Bedrooms : 3 Bathrooms : 2 Balconies : 4 Furnishing : No Floor : 3rd out of 6 Floors Covered Carpark : 1  Age of Building : 2 Year Society Registration : Yes Monthly Maintanance : 2500 Security : Security cum Caretaker Lift : Bed lift Power Backup : Yes Water Source : Corporation & Well  Gymnasium : No Party Hall : Rooftop Covered. Children's Play Area : No Waste Management : Yes,Kochi,Kadavanthara,3 Bds , 2 Ba , 1232 ft2,"₹ 57,00,000"
